gene	effectSize	effectSizeStandardError	effectSizePval	effectSizeFDR	tauSquared	numStudies	cochranesQ	heterogeneityPval	fisherStatUp	fisherPvalUp	fisherFDRUp	fisherStatDown	fisherPvalDown	fisherFDRDown
ZNF37A	-0.3390569938104497	0.49295557619558267	0.4915759911318028	0.9997238785431705	0	2	0.271220153592682	0.602514454999762	1.8552759083016912	0.7623553002198189	0.8093858135002999	4.739346709004302	0.3151024224778907	0.9999854341075632
MT1E	0.4230433251784043	0.6150928651995523	0.4915967038689493	0.9997238785431705	0.2158203133614523	2	1.367134953733542	0.24230474883902298	6.289558394592397	0.1785423091534535	0.434084041193079	2.4496521777642473	0.6536734666885013	0.9999854341075632
UCKL1.AS1	-0.3687099020434812	0.5361226347075508	0.4916201428961025	0.9997238785431705	0.03347700517945107	2	1.0439569884374862	0.30690296354207536	1.3260501393114346	0.8569404969428087	0.8856538138145128	7.110033297077497	0.13018647114923695	0.9705255825068309
USP33	0.3398757897297856	0.4942622168590857	0.4916778315772579	0.9997238785431705	0	2	0.3819741494896355	0.5365485941049735	4.774993724837214	0.3111732019298067	0.5033694574416012	1.9784675804058567	0.739719472659017	0.9999854341075632
MANEA	-0.34392040163821913	0.5003213066625628	0.4918312825959871	0.9997238785431705	0	2	0.34963475729158844	0.5543199579445257	1.2958763447151225	0.8620747817186682	0.8899778164710995	5.710632302202152	0.22182574521657625	0.9999854341075632
PCDHGA10	0.5467661122667281	0.7954254779422623	0.491838111947144	0.9997238785431705	0.5711406880149256	2	1.6250696052987257	0.20238634991910476	8.256886446853876	0.08260863404582755	0.3753809592841232	1.4067909185874903	0.843013867241076	0.9999854341075632
PTGDR2	0.33786521127160013	0.4916128420904211	0.4919197086858158	0.9997238785431705	0	2	0.14389760665225965	0.7044366024097982	4.713739816203632	0.31795006294987294	0.506826122657949	1.7032010546150507	0.7901360664433137	0.9999854341075632
TNKS	-0.8552162098475323	1.2451391544249704	0.49218111388514446	0.9997238785431705	2.060112808074704	2	2.553831106679008	0.11002716385399791	1.6144473632705407	0.806193176994975	0.8445925323445318	10.25302224830475	0.0363745587552765	0.838814774862465
FXYD6.FXYD2	0.3388959920300851	0.4934278138359065	0.49219629141903926	0.9997238785431705	0	2	0.056683101043428025	0.8118173937973413	5.0758820059241305	0.27959977240793116	0.4877925760574354	1.337729032603828	0.854942510498679	0.9999854341075632
MED21	-1.5220510227317778	2.2161423427647517	0.4922075009270054	0.9997238785431705	7.575730745776214	2	3.660737882386893	0.055708955848879915	2.097490929376625	0.717833359063525	0.7743007902545667	13.692128645677068	0.008345337519959414	0.7744509918301936
